N,Beta,Tol,Tau_Mix
4,0.01,1e-05,-28618.67895569373
4,0.01,1e-06,0.1305877503229388
4,0.01,1e-07,0.13048140652693582
4,0.01,1e-08,0.13042274084181502
4,0.1,1e-05,0.13735336868805245
4,0.1,1e-06,0.1373103260173269
4,0.1,1e-07,0.137278327476476
4,0.1,1e-08,0.1372567748573632
4,0.5,1e-05,0.39455217043248303
4,0.5,1e-06,0.39589647768702696
4,0.5,1e-07,0.3966668657022019
4,0.5,1e-08,0.3971444732195423
4,1.0,1e-05,4.716629651195758
4,1.0,1e-06,4.743373482849354
4,1.0,1e-07,4.755140603716337
4,1.0,1e-08,4.756891420981027
4,2.0,1e-05,0.5721607671864729
4,2.0,1e-06,0.727782018794869
4,2.0,1e-07,38054.3996846975
4,2.0,1e-08,38054.3996846975
4,5.0,1e-05,2987.030606994461
4,5.0,1e-06,2987.030606994461
4,5.0,1e-07,2987.030606994461
4,5.0,1e-08,2987.030606994461
4,10.0,1e-05,5097.312497170015
4,10.0,1e-06,5097.312497170015
4,10.0,1e-07,5097.312497170015
4,10.0,1e-08,5097.312497170015
5,0.01,1e-05,-25958.5975153028
5,0.01,1e-06,0.1284868035488549
5,0.01,1e-07,0.12842232312680227
5,0.01,1e-08,0.12838666851401698
5,0.1,1e-05,0.13445147509683805
5,0.1,1e-06,0.13440194416679477
5,0.1,1e-07,0.13437166461521807
5,0.1,1e-08,0.13435372684958524
5,0.5,1e-05,0.3783785807283908
5,0.5,1e-06,0.3809016090931925
5,0.5,1e-07,0.38236935465436706
5,0.5,1e-08,0.3833587241590498
5,1.0,1e-05,5.461212513836942
5,1.0,1e-06,5.539131481184023
5,1.0,1e-07,5.552237236041722
5,1.0,1e-08,5.552237236041722
5,2.0,1e-05,-3925.4969520622426
5,2.0,1e-06,-2099.8641521874597
5,2.0,1e-07,32616.684348555154
5,2.0,1e-08,32616.684348555154
5,5.0,1e-05,-4792.494227878626
5,5.0,1e-06,-4792.494227878626
5,5.0,1e-07,-4792.494227878626
5,5.0,1e-08,-4792.494227878626
5,10.0,1e-05,-3207.87746686801
5,10.0,1e-06,-3207.87746686801
5,10.0,1e-07,-3207.87746686801
5,10.0,1e-08,-3207.87746686801
6,0.01,1e-05,-17226.135592151964
6,0.01,1e-06,0.12876040155374735
6,0.01,1e-07,0.12869067203456683
6,0.01,1e-08,0.1286521261744961
6,0.1,1e-05,0.13365675488981688
6,0.1,1e-06,0.13361162981346927
6,0.1,1e-07,0.13358727514596958
6,0.1,1e-08,0.13356762264935604
6,0.5,1e-05,0.3534747802749229
6,0.5,1e-06,0.3562815452795123
6,0.5,1e-07,0.3579017053418447
6,0.5,1e-08,0.35895190794710613
6,1.0,1e-05,5.811013900171741
6,1.0,1e-06,5.935583695088281
6,1.0,1e-07,5.935583695088281
6,1.0,1e-08,5.935583695088281
6,2.0,1e-05,-2221.83588661542
6,2.0,1e-06,-2221.83588661542
6,2.0,1e-07,663924.4219377597
6,2.0,1e-08,663924.4219377597
6,5.0,1e-05,5852.461030448202
6,5.0,1e-06,5852.461030448202
6,5.0,1e-07,5852.461030448202
6,5.0,1e-08,5852.461030448202
6,10.0,1e-05,0.1531093529924606
6,10.0,1e-06,0.1531093529924606
6,10.0,1e-07,0.1531093529924606
6,10.0,1e-08,0.1531093529924606
7,0.01,1e-05,-16911.49277010753
7,0.01,1e-06,0.13118958017980267
7,0.01,1e-07,0.13107742962878854
7,0.01,1e-08,0.13101560198166726
7,0.1,1e-05,0.13273165262254147
7,0.1,1e-06,0.13270845730084493
7,0.1,1e-07,0.1326914255788044
7,0.1,1e-08,0.13268004485946533
7,0.5,1e-05,0.33733746730860464
7,0.5,1e-06,0.3399455083695881
7,0.5,1e-07,0.3414405038850978
7,0.5,1e-08,0.3424052357801081
7,1.0,1e-05,5.8655468826169175
7,1.0,1e-06,5.999325542249304
7,1.0,1e-07,5.999325542249304
7,1.0,1e-08,5.999325542249304
7,2.0,1e-05,-10798.242085535145
7,2.0,1e-06,-10798.242085535145
7,2.0,1e-07,815898.9969394044
7,2.0,1e-08,815898.9969394044
7,5.0,1e-05,-10491.656745768536
7,5.0,1e-06,-10491.656745768536
7,5.0,1e-07,-5705.174636586015
7,5.0,1e-08,-5705.174636586015
7,10.0,1e-05,-5977.372926080796
7,10.0,1e-06,-5977.372926080796
7,10.0,1e-07,-3881.7808835037113
7,10.0,1e-08,-3881.7808835037113
8,0.01,1e-05,-11308.78462021057
8,0.01,1e-06,0.13029359024175255
8,0.01,1e-07,0.13019271158166884
8,0.01,1e-08,0.1301370422457669
8,0.1,1e-05,0.1330279280175777
8,0.1,1e-06,0.13299372672281287
8,0.1,1e-07,0.1329685836756336
8,0.1,1e-08,0.1329538276061261
8,0.5,1e-05,0.32740824808210234
8,0.5,1e-06,0.32984118347909874
8,0.5,1e-07,0.3312123912855852
8,0.5,1e-08,0.3320880266834502
8,1.0,1e-05,5.764446045072295
8,1.0,1e-06,5.891779437623353
8,1.0,1e-07,5.891779437623353
8,1.0,1e-08,5.891779437623353
8,2.0,1e-05,-13143.251380953443
8,2.0,1e-06,-3143.2617380960323
8,2.0,1e-07,257732.1392206324
8,2.0,1e-08,257732.1392206324
8,5.0,1e-05,3796.4678035505967
8,5.0,1e-06,3796.4678035505967
8,5.0,1e-07,3796.4678035505967
8,5.0,1e-08,3796.4678035505967
8,10.0,1e-05,-6295.91493433747
8,10.0,1e-06,-6295.91493433747
8,10.0,1e-07,-6295.91493433747
8,10.0,1e-08,-6295.91493433747
9,0.01,1e-05,-13565.305828208971
9,0.01,1e-06,0.12963001104338362
9,0.01,1e-07,0.12953859641645168
9,0.01,1e-08,0.12948810535914151
9,0.1,1e-05,0.13530627065329648
9,0.1,1e-06,0.1352247061468026
9,0.1,1e-07,0.13516479331705947
9,0.1,1e-08,0.13512967987037297
9,0.5,1e-05,0.32362027817881167
9,0.5,1e-06,0.3258174920404537
9,0.5,1e-07,0.32708632720556097
9,0.5,1e-08,0.32790673024084216
9,1.0,1e-05,5.5427483422766475
9,1.0,1e-06,5.6570502293735325
9,1.0,1e-07,5.6570502293735325
9,1.0,1e-08,5.6570502293735325
